Symbol,Series,ISIN Code
360ONE,EQ,INE466L01038
3MINDIA,EQ,INE470A01017
ABB,EQ,INE117A01022
ACC,EQ,INE012A01025
AIAENG,EQ,INE212H01026
APLAPOLLO,EQ,INE702C01027
AUBANK,EQ,INE949L01017
AARTIDRUGS,EQ,INE767A01016
AARTIIND,EQ,INE769A01020
AAVAS,EQ,INE216P01012
ABBOTINDIA,EQ,INE358A01014
ADANIENT,EQ,INE423A01024
ADANIGREEN,EQ,INE364U01010
ADANIPORTS,EQ,INE742F01042
ADANIPOWER,EQ,INE814H01011
ATGL,EQ,INE399L01023
ADANITRANS,EQ,INE931S01010
AWL,EQ,INE699H01024
ABCAPITAL,EQ,INE674K01013
ABFRL,EQ,INE647O01011
AEGISCHEM,EQ,INE208C01025
AETHER,EQ,INE0BWX01014
AFFLE,EQ,INE00WC01027
AJANTPHARM,EQ,INE031B01049
APLLTD,EQ,INE901L01018
ALKEM,EQ,INE540L01014
ALKYLAMINE,EQ,INE150B01039
AMARAJABAT,EQ,INE885A01032
AMBER,EQ,INE371P01015
AMBUJACEM,EQ,INE079A01024
ANGELONE,EQ,INE732I01013
ANURAS,EQ,INE930P01018
APARINDS,EQ,INE372A01015
APOLLOHOSP,EQ,INE437A01024
APOLLOTYRE,EQ,INE438A01022
APTUS,EQ,INE852O01025
ACI,EQ,INE128X01021
ASAHIINDIA,EQ,INE439A01020
ASHOKLEY,EQ,INE208A01029
ASIANPAINT,EQ,INE021A01026
ASTERDM,EQ,INE914M01019
ASTRAL,EQ,INE006I01046
ATUL,EQ,INE100A01010
AUROPHARMA,EQ,INE406A01037
AVANTIFEED,EQ,INE871C01038
DMART,EQ,INE192R01011
AXISBANK,EQ,INE238A01034
BASF,EQ,INE373A01013
BEML,EQ,INE258A01016
BLS,EQ,INE153T01027
BSE,EQ,INE118H01025
BAJAJ-AUTO,EQ,INE917I01010
BAJAJELEC,EQ,INE193E01025
BAJFINANCE,EQ,INE296A01024
BAJAJFINSV,EQ,INE918I01026
BAJAJHLDNG,EQ,INE118A01012
BALAMINES,EQ,INE050E01027
BALKRISIND,EQ,INE787D01026
BALRAMCHIN,EQ,INE119A01028
BANDHANBNK,EQ,INE545U01014
BANKBARODA,EQ,INE028A01039
BANKINDIA,EQ,INE084A01016
MAHABANK,EQ,INE457A01014
BATAINDIA,EQ,INE176A01028
BAYERCROP,EQ,INE462A01022
BERGEPAINT,EQ,INE463A01038
BDL,EQ,INE171Z01018
BEL,EQ,INE263A01024
BHARATFORG,EQ,INE465A01025
BHEL,EQ,INE257A01026
BPCL,EQ,INE029A01011
BHARTIARTL,EQ,INE397D01024
BIKAJI,EQ,INE00E101023
BIOCON,EQ,INE376G01013
BIRLACORPN,EQ,INE340A01012
BSOFT,EQ,INE836A01035
BLUEDART,EQ,INE233B01017
BLUESTARCO,EQ,INE472A01039
BBTC,EQ,INE050A01025
BORORENEW,EQ,INE666D01022
BOSCHLTD,EQ,INE323A01026
BRIGADE,EQ,INE791I01019
BCG,EQ,INE425B01027
BRITANNIA,EQ,INE216A01030
